RIGOL TECHNOLOGIES,DP821A,DP8E165350191,00.01.13
Date, Time, voltage 1,current 1,power 1,voltage 2,current 2,power 2
2023-07-25, 16:13:50, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-25, 16:13:51, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-25, 16:13:52, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-25, 16:13:53, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-25, 16:13:55, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-25, 16:13:56, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-25, 16:13:57, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-25, 16:13:58, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-25, 16:13:59, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-25, 16:14:00, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-25, 16:14:01, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
2023-07-25, 16:14:02, 0.000, 0.0000, 0.000, 0.000, 0.000, 0.000, 
